!VNA Trans/Linear/50 to 200/Path 2
RefreshEachScan=1TraceModes=1,1DoHist=0ActiveGraphs=0 1TraceWidths=1 1TraceColors=0 255 255;;255 200 90EndContextStartContext SweepVersion=BmsaMode=VectorTransFreqMode=0BaseFreq=0SpecialGraph=0RLCSpec=0Wait=0PlaneAdj=0Path=2SGPreset=10Offset=0IsTG=1NormRev=0VideoFilter=WideDUTDirection=0GraphData=40 20Autoscale=0 0S21Jig=Series 50 0S11Bridge=50 50 ReflectMinMaxXAxis=50 200MinMaxY1Axis=-180 180MinMaxY2Axis=-100 0IsLinear=1 1 1NumSteps=400SweepDir=1EndContext
! BandSweep Line Calibration Data
!
!07/29/19; 14:59:58
!Linear Sweep; Path 2; S21Jig=Series; S21JigR0=50
# MHz S DB R 50
! MHz  S21_DB  S21_Degrees
123.125 -20.35829 152.36
123.5 -20.31068 150.64
123.875 -20.26307 148.97
124.25 -20.27039 147.18
124.625 -20.26307 145.52
125 -20.20447 143.67
125.375 -20.14588 141.89
125.75 -20.09827 140.35
126.125 -20.09827 138.63
126.5 -20.09095 137.19
126.875 -20.02869 135.6
127.25 -20.02136 133.99
127.625 -19.95544 132.28
128 -19.89685 130.66
128.375 -19.84558 129.21
128.75 -19.78698 127.75
129.125 -19.79064 126.33
129.5 -19.77599 124.89
129.875 -19.71374 123.47
130.25 -19.65514 122.02
130.625 -19.60753 120.6
131 -19.60387 119.31
131.375 -19.58922 117.92
131.75 -19.52696 116.44
132.125 -19.46837 114.99
132.5 -19.40611 113.41
132.875 -19.35118 111.96
133.25 -19.29624 110.57
133.625 -19.23765 109.08
134 -19.24497 107.8
134.375 -19.24131 106.46
134.75 -19.18271 105.01
135.125 -19.12778 103.65
135.5 -19.07651 102.2
135.875 -19.08383 100.98
136.25 -19.07651 99.53
136.625 -19.01791 98.06
137 -18.96298 96.65
137.375 -18.91903 95.18
137.75 -18.87143 93.85
138.125 -18.88241 92.65
138.5 -18.83114 91.31
138.875 -18.85311 90.06
139.25 -18.84213 88.62
139.625 -18.79452 87.24
140 -18.7579 86.06
140.375 -18.72127 84.79
140.75 -18.74325 83.7
141.125 -18.74691 82.44
141.5 -18.70663 81.15
141.875 -18.67 79.86
142.25 -18.63704 78.56
142.625 -18.5931 77.2
143 -18.5638 75.96
143.375 -18.54183 74.69
143.75 -18.56746 73.59
144.125 -18.58211 72.37
144.5 -18.52718 -106.71
144.875 -18.49788 -103.08
145.25 -18.47591 -99.46
145.625 -18.51253 -95.83
146 -18.52718 -92.48
146.375 -18.50154 -89.24
146.75 -18.47957 -86.21
147.125 -18.45393 -83.2
147.5 -18.43562 -80.29
147.875 -18.42463 -77.62
148.25 -18.40632 -74.97
148.625 -18.39167 -72.47
149 -18.38435 -70.05
149.375 -18.37703 -67.71
149.75 -18.3697 -65.36
150.125 -18.36238 -63.05
150.5 -18.41365 -60.97
150.875 -18.45393 -59.09
151.25 -18.43928 -57.09
151.625 -18.43196 -55.09
152 -18.42463 -53.4
152.375 -18.48689 -51.63
152.75 -18.52351 -49.91
153.125 -18.51985 -48.41
153.5 -18.50887 -47.06
153.875 -18.50887 -45.75
154.25 -18.50887 -44.42
154.625 -18.51253 -43.17
155 -18.51985 -41.9
155.375 -18.58211 -40.69
155.75 -18.62239 -39.64
156.125 -18.62239 -38.61
156.5 -18.62606 -37.7
156.875 -18.62972 -36.76
157.25 -18.68831 -35.86
157.625 -18.73226 -35.04
158 -18.73226 -34.32
158.375 -18.77255 -33.63
158.75 -18.77621 -32.97
159.125 -18.77621 -32.26
159.5 -18.77621 -31.72
159.875 -18.78719 -31.17
160.25 -18.84579 -30.67
160.625 -18.8934 -30.19
161 -18.89706 -29.71
161.375 -18.90072 -29.3
161.75 -18.90439 -28.96
162.125 -18.97397 -28.56
162.5 -19.02158 -28.24
162.875 -19.02524 -27.99
163.25 -19.0289 -27.75
163.625 -19.0289 -27.55
164 -19.03623 -27.39
164.375 -19.03989 -27.27
164.75 -19.05454 -27.17
165.125 -19.12412 -27.09
165.5 -19.17173 -27
165.875 -19.17905 -27
166.25 -19.18638 -27
166.625 -19.19736 -27.04
167 -19.26695 -27.06
167.375 -19.31455 -27.11
167.75 -19.32188 -27.23
168.125 -19.32554 -27.37
168.5 -19.33287 -27.51
168.875 -19.34385 -27.69
169.25 -19.35484 -27.88
169.625 -19.36949 -28.08
170 -19.43907 -28.28
170.375 -19.49767 -28.47
170.75 -19.50865 -28.74
171.125 -19.51231 -29.02
171.5 -19.53063 -29.33
171.875 -19.59655 -29.59
172.25 -19.65514 -29.86
172.625 -19.66247 -30.24
173 -19.66979 -30.59
173.375 -19.68078 -30.97
173.75 -19.69909 -31.39
174.125 -19.71374 -32.06
174.5 -19.72839 -32.47
174.875 -19.80529 -32.83
175.25 -19.86023 -33.24
175.625 -19.86755 -33.68
176 -19.87487 -34.13
176.375 -19.88952 -34.59
176.75 -19.95911 -35.04
177.125 -20.01404 -35.41
177.5 -20.02136 -35.9
177.875 -20.02869 -36.42
178.25 -20.03601 -36.93
178.625 -20.05066 -37.47
179 -20.05799 -37.99
179.375 -20.0763 -38.58
179.75 -20.08362 -39.12
180.125 -20.10193 -39.69
180.5 -20.12024 -40.27
180.875 -20.13489 -40.86
181.25 -20.14954 -41.41
181.625 -20.22645 -41.95
182 -20.27772 -42.47
182.375 -20.28871 -43.08
182.75 -20.29237 -43.68
183.125 -20.30335 -44.26
183.5 -20.318 -44.96
183.875 -20.32899 -45.55
184.25 -20.33631 -46.16
184.625 -20.35463 -46.86
185 -20.36927 -47.56
185.375 -20.3766 -48.2
185.75 -20.39857 -48.87
186.125 -20.40956 -49.5
186.5 -20.4828 -50.1
