! BaseLine Calibration Data
!
!06/25/20; 00:22:27
!Linear Sweep; Path 4; S21Jig=Series; S21JigR0=50
# MHz S DB R 50
! MHz  S21_DB  S21_Degrees
10.7245 -21.93985 -163.85
10.724625 -21.87218 -163.5
10.72475 -21.8609 -163.63
10.724875 -21.90226 -163.78
10.725 -21.84211 -164.22
10.725125 -21.8985 -163.67
10.72525 -21.78195 -163.79
10.725375 -21.8797 -164.01
10.7255 -21.84211 -163.5
10.725625 -21.88346 -163.71
10.72575 -21.85714 -164.28
10.725875 -21.8797 -163.45
10.726 -21.8797 -163.51
10.726125 -21.87218 -163.71
10.72625 -21.88346 -163.41
10.726375 -21.81203 -163.89
10.7265 -21.93985 -163.55
10.726625 -21.78195 -163.98
10.72675 -21.80827 -164.05
10.726875 -21.8609 -164.08
10.727 -21.86842 -164.07
10.727125 -21.88346 -164
10.72725 -21.88722 -163.72
10.727375 -21.8985 -163.86
10.7275 -21.91353 -163.39
10.727625 -21.79699 -164.47
10.72775 -21.86842 -163.79
10.727875 -21.94361 -163.75
10.728 -21.81955 -163.42
10.728125 -21.82707 -163.84
10.72825 -21.90602 -163.3
10.728375 -21.84586 -164.44
10.7285 -21.89098 -163.65
10.728625 -21.91729 -163.5
10.72875 -21.94361 -163.8
10.728875 -21.87594 -163.73
10.729 -21.78571 -164.43
10.729125 -21.80827 -164.31
10.72925 -21.93609 -163.5
10.729375 -21.80827 -163.9
10.7295 -21.84211 -163.64
10.729625 -21.98872 -163.05
10.72975 -21.86842 -163.85
10.729875 -21.81579 -163.85
10.73 -21.73308 -163.65
10.730125 -21.84962 -163.39
10.73025 -21.91729 -163.55
10.730375 -21.78195 -164.12
10.7305 -21.82331 -163.92
10.730625 -21.95113 -163.28
10.73075 -21.81579 -163.29
10.730875 -21.92481 -163.83
10.731 -21.90226 -164.28
10.731125 -21.78947 -164.3
10.73125 -21.8797 -163.55
10.731375 -21.77444 -163.94
10.7315 -21.92481 -163.64
10.731625 -21.91353 -163.29
10.73175 -21.83083 -163.63
10.731875 -21.78947 -163.62
10.732 -21.93609 -163.72
10.732125 -21.84211 -164.02
10.73225 -21.89474 -163.25
10.732375 -21.81203 -164
10.7325 -21.89098 -163.4
10.732625 -21.88346 -163.5
10.73275 -21.78947 -163.92
10.732875 -21.84211 -164.06
10.733 -21.87594 -163.51
10.733125 -21.79699 -164.42
10.73325 -21.92105 -163.09
10.733375 -21.83459 -164.29
10.7335 -21.84586 -163.75
10.733625 -21.87594 -163.63
10.73375 -21.92105 -164.02
10.733875 -21.86466 -163.98
10.734 -21.86466 -163.91
10.734125 -21.84586 -163.52
10.73425 -21.87218 -163.36
10.734375 -21.95113 -162.65
10.7345 -21.77444 -164.08
10.734625 -21.92481 -163.64
10.73475 -21.82707 -164.22
10.734875 -21.85338 -163.65
10.735 -21.84211 -163.48
10.735125 -21.89098 -163.64
10.73525 -21.90977 -163.52
10.735375 -21.88346 -164.07
10.7355 -21.84586 -164.09
10.735625 -21.94361 -163.87
10.73575 -21.80827 -163.91
10.735875 -21.81955 -163.93
10.736 -21.8985 -163.35
10.736125 -21.84586 -163.58
10.73625 -21.86466 -163.84
10.736375 -21.88346 -163.66
10.7365 -21.83083 -164.22
10.736625 -21.89474 -163.7
10.73675 -21.88346 -163.73
10.736875 -21.89098 -163.65
10.737 -21.89098 -163.92
10.737125 -21.78947 -163.91
10.73725 -21.82331 -164.48
10.737375 -21.91353 -163.13
10.7375 -21.81955 -164.2
10.737625 -21.83835 -163.89
10.73775 -21.83459 -164.29
10.737875 -21.86842 -163.54
10.738 -21.90977 -163.36
10.738125 -21.79699 -163.69
10.73825 -21.91353 -164.09
10.738375 -21.90226 -163.74
10.7385 -21.81203 -164.33
10.738625 -21.78195 -163.84
10.73875 -21.95865 -163.46
10.738875 -21.82707 -164.13
10.739 -21.85338 -164.18
10.739125 -21.78947 -164.01
10.73925 -21.91729 -163.82
10.739375 -21.91353 -163.56
10.7395 -21.83459 -164.3
10.739625 -21.92481 -163.84
10.73975 -21.92481 -163.06
10.739875 -21.81579 -164.35
10.74 -21.84211 -163.39
10.740125 -21.97744 -163.18
10.74025 -21.87218 -163.95
10.740375 -21.86842 -164.16
10.7405 -21.80451 -164.56
10.740625 -21.90977 -163.32
10.74075 -21.92105 -163.91
10.740875 -21.73308 -164.1
10.741 -21.8797 -163.8
10.741125 -21.83459 -163.95
10.74125 -21.82707 -163.92
10.741375 -21.89474 -163.75
10.7415 -21.81955 -163.79
10.741625 -21.81955 -164.32
10.74175 -21.82707 -163.59
10.741875 -21.83083 -164.62
10.742 -21.87218 -164.19
10.742125 -21.92857 -163.22
10.74225 -21.80827 -163.62
10.742375 -21.91729 -163.61
10.7425 -21.87218 -163.65
10.742625 -21.81579 -164.33
10.74275 -21.86466 -163.78
10.742875 -21.89474 -163.63
10.743 -21.88722 -164.07
10.743125 -21.86466 -164.23
10.74325 -21.88346 -163.6
10.743375 -21.91729 -163.93
10.7435 -21.89474 -163.85
10.743625 -21.87594 -164.03
10.74375 -21.84211 -163.56
10.743875 -21.80075 -163.87
10.744 -21.86842 -164.09
10.744125 -21.85714 -163.81
10.74425 -21.86466 -163.83
10.744375 -21.87218 -164.02
10.7445 -21.91353 -164.16
10.744625 -21.87218 -163.51
10.74475 -21.93233 -163.64
10.744875 -21.75564 -163.98
10.745 -21.79699 -163.83
10.745125 -21.92105 -164.04
10.74525 -21.80827 -164.4
10.745375 -21.88346 -164.15
10.7455 -21.83835 -163.82
10.745625 -21.85338 -163.9
10.74575 -21.87594 -163.96
10.745875 -21.8797 -163.36
10.746 -21.83459 -163.86
10.746125 -21.91353 -163.99
10.74625 -21.83459 -163.86
10.746375 -21.85714 -164.2
10.7465 -21.96617 -163.36
10.746625 -21.85714 -164.59
10.74675 -21.84962 -164.03
10.746875 -21.91729 -163.89
10.747 -21.90226 -163.78
10.747125 -21.90602 -163.17
10.74725 -21.77068 -164.24
10.747375 -21.86466 -164.01
10.7475 -21.90226 -164.06
10.747625 -21.85338 -164.05
10.74775 -21.78195 -163.94
10.747875 -22 -163.64
10.748 -21.84962 -163.61
10.748125 -21.84962 -164.23
10.74825 -22 -163.48
10.748375 -21.8609 -163.48
10.7485 -21.88722 -163.65
10.748625 -21.78195 -164.46
10.74875 -21.90226 -163.44
10.748875 -21.88346 -163.95
10.749 -21.74812 -164.64
10.749125 -21.76692 -163.67
10.74925 -21.95113 -163.72
10.749375 -21.81955 -164.65
10.7495 -21.84211 -164.19
10.749625 -21.89098 -163.89
10.74975 -21.8985 -163.81
10.749875 -21.90977 -163.89
10.75 -21.80827 -164.42
