!VNA Reflect/Linear/6 to 22/Path 4
RefreshEachScan=0TraceModes=1,1DoHist=0ActiveGraphs=1 1TraceWidths=1 1TraceColors=0 255 255;;255 200 90EndContextStartContext SweepVersion=BmsaMode=ReflectionFreqMode=0BaseFreq=0SpecialGraph=0RLCSpec=0Wait=0PlaneAdj=0Path=4SGPreset=10Offset=0IsTG=1NormRev=0VideoFilter=WideDUTDirection=0GraphData=14 1Autoscale=0 0S21Jig=Series 50 0S11Bridge=50 50 ReflectMinMaxXAxis=6 22MinMaxY1Axis=1 3MinMaxY2Axis=-20 0IsLinear=1 1 1NumSteps=1600SweepDir=1EndContext
! OSL Calibration Data
!
!01/20/22; 12:11:44
!Linear Sweep; Path 4; S11Jig=Reflect; S11BridgeR0=50; S21Jig=Series; S21JigR0=50
!
!  MHz    A_real   A_imag   B_real   B_imag     C_Real     C_Imag     RefDB     RefDeg
6.44 0.62066747 0.900004e-2 0.88976124e-1 0.96187653e-2 -0.2903564 0.01861880 -37.29177 30.03
6.45 0.62127358 0.15526252e-1 0.08880490 0.10447893e-1 -0.28992151 0.25974145e-1 -37.29177 29.81
6.46 0.62141021 0.14121247e-1 0.08873530 0.10706725e-1 -0.28985449 0.24827972e-1 -37.29552 29.44
6.47 0.62184941 0.15220956e-1 0.89791287e-1 0.10691069e-1 -0.2883593 0.25912025e-1 -37.29552 29.5
6.48 0.62225476 0.01361860 0.89193719e-1 0.10777831e-1 -0.28855152 0.24396433e-1 -37.30301 29.69
6.49 0.6213656 0.15664032e-1 0.88629844e-1 0.10615538e-1 -0.29000456 0.2627957e-1 -37.29552 29.38
6.5 0.62348517 0.14968773e-1 0.8937748e-1 0.10546887e-1 -0.28713735 0.2551566e-1 -37.29552 29.42
6.51 0.62094331 0.13577646e-1 0.88798697e-1 0.11139165e-1 -0.29025799 0.24716811e-1 -37.30301 29.55
6.52 0.62148867 0.1420692e-1 0.88923279e-1 0.1107598e-1 -0.28958805 0.0252829 -37.30301 29.27
6.53 0.62253862 0.13300766e-1 0.89482995e-1 0.10971277e-1 -0.28797839 0.24272043e-1 -37.30676 29.61
6.54 0.621988 0.19130981e-1 0.8894612e-1 0.11204966e-1 -0.28906588 0.30335947e-1 -37.30301 28.71
6.55 0.62072914 0.16653422e-1 0.89444164e-1 0.10966516e-1 -0.2898267 0.27619938e-1 -37.28052 29.34
6.56 0.62111986 0.14519726e-1 0.88831357e-1 0.10875645e-1 -0.29004878 0.25395371e-1 -37.30301 29.27
6.57 0.62305547 0.15487918e-1 0.89536874e-1 0.01085100 -0.28740766 0.26338926e-1 -37.30676 29.11
6.58 0.62116626 0.22469736e-1 0.88577264e-1 0.11944633e-1 -0.29025648 0.34414369e-1 -37.32175 28.32
6.59 0.62158458 0.14400774e-1 0.89157591e-1 0.11073562e-1 -0.28925783 0.25474336e-1 -37.30676 29.28
6.6 0.6221082 0.17258726e-1 0.08878750 0.12399268e-1 -0.28910429 0.29657994e-1 -37.30301 28.85
6.61 0.62094264 0.10758627e-1 0.88835148e-1 0.10844636e-1 -0.29022221 0.21603263e-1 -37.31051 29.04
6.62 0.62314416 0.11421599e-1 0.89408899e-1 0.99340192e-2 -0.28744694 0.21355618e-1 -37.3255 29.35
6.63 0.62168953 0.18180416e-1 0.89811594e-1 0.01117070 -0.28849887 0.29351123e-1 -37.31051 28.98
6.64 0.62208032 0.1852846e-1 0.08959060 0.10730613e-1 -0.28832907 0.29259073e-1 -37.31426 28.82
6.65 0.62256762 0.15519475e-1 0.88788693e-1 0.10587411e-1 -0.28864369 0.26106886e-1 -37.32925 29.07
6.66 0.62230375 0.16500442e-1 0.89333574e-1 0.10589136e-1 -0.28836268 0.27089577e-1 -37.318 28.98
6.67 0.62177944 0.18132963e-1 0.89214179e-1 0.12141517e-1 -0.28900638 0.3027448e-1 -37.32175 28.67
6.68 0.62175081 0.15797237e-1 0.8919066e-1 0.10477495e-1 -0.28905853 0.26274731e-1 -37.318 28.94
6.69 0.6230935 0.15828282e-1 0.89258098e-1 0.01023280 -0.2876484 0.26061085e-1 -37.31426 28.65
6.7 0.62238165 0.16728398e-1 0.8911146e-1 0.01113100 -0.28850689 0.02785940 -37.32175 28.73
6.71 0.62263452 0.18997465e-1 0.88947289e-1 0.1055909e-1 -0.28841819 0.29556555e-1 -37.30676 28.61
6.72 0.6227244 0.17613572e-1 0.89530088e-1 0.01153260 -0.28774551 0.29146176e-1 -37.32175 28.28
6.73 0.62257467 0.20518951e-1 0.89217192e-1 0.11223296e-1 -0.28820813 0.31742247e-1 -37.333 28.68
6.74 0.6221827 0.16120963e-1 0.89406243e-1 0.1158011e-1 -0.28841106 0.27701073e-1 -37.318 28.53
6.75 0.6216876 0.20607096e-1 0.89420391e-1 0.11772418e-1 -0.288892 0.32379514e-1 -37.32175 28.21
6.76 0.62260487 0.02063440 0.08889280 0.11009168e-1 -0.28850232 0.31643573e-1 -37.32175 28.37
6.77 0.62230937 0.16275689e-1 0.88525962e-1 0.11450384e-1 -0.28916467 0.27726073e-1 -37.318 28.69
6.78 0.62248328 0.21321896e-1 0.88921973e-1 0.12829695e-1 -0.28859475 0.34151591e-1 -37.3255 28.08
6.79 0.62164512 0.20412577e-1 0.89323212e-1 0.11616913e-1 -0.28903167 0.3202949e-1 -37.32175 28.25
6.8 0.62219985 0.21071762e-1 0.88703182e-1 0.01158350 -0.28909697 0.3265527e-1 -37.33675 28.06
6.81 0.62248561 0.1780383e-1 0.88988642e-1 0.11178768e-1 -0.28852575 0.28982598e-1 -37.34049 27.97
6.82 0.62309295 0.20304967e-1 0.89260437e-1 0.1149787e-1 -0.28764662 0.31802837e-1 -37.333 28.21
6.83 0.62367124 0.14991991e-1 0.89529332e-1 0.00917300 -0.28679943 0.24164991e-1 -37.34799 28.59
6.84 0.62316701 0.1829908e-1 0.89075522e-1 0.10463969e-1 -0.28775747 0.28763049e-1 -37.34049 28.52
6.85 0.62309958 0.21009654e-1 0.89264357e-1 0.11767725e-1 -0.28763607 0.32777379e-1 -37.3255 28.22
6.86 0.62260978 0.19761952e-1 0.0892549 0.12416898e-1 -0.28813532 0.3217885e-1 -37.34424 28.19
6.87 0.62221273 0.17201866e-1 0.88720469e-1 0.10830637e-1 -0.2890668 0.02803250 -37.3255 28.03
6.88 0.62272403 0.21116439e-1 0.89541564e-1 0.12042846e-1 -0.28773441 0.33159285e-1 -37.32925 27.83
6.89 0.62368959 0.18096851e-1 0.89525668e-1 0.10944791e-1 -0.28678474 0.29041641e-1 -37.34424 28.16
6.9 0.62351401 0.24425535e-1 0.88696083e-1 0.12496995e-1 -0.28778991 0.3692253e-1 -37.33675 27.71
6.91 0.62300277 0.20627472e-1 0.89068371e-1 0.11473129e-1 -0.28792885 0.03210060 -37.35174 27.77
6.92 0.62230898 0.17235482e-1 0.88961164e-1 0.11396188e-1 -0.28872986 0.2863167e-1 -37.35174 27.56
6.93 0.62187064 0.17228655e-1 0.08946730 0.11715058e-1 -0.28866205 0.28943713e-1 -37.34049 27.72
6.94 0.62264465 0.24146372e-1 0.8860528e-1 0.12310761e-1 -0.28875007 0.36457134e-1 -37.34799 27.08
6.95 0.62319965 0.19212226e-1 0.89114739e-1 0.11716355e-1 -0.28768561 0.30928581e-1 -37.34424 27.28
6.96 0.62371778 0.23601245e-1 0.89606346e-1 0.01214710 -0.28667588 0.3574835e-1 -37.34799 27.45
6.97 0.62226729 0.02148570 0.88870157e-1 0.11794669e-1 -0.28886256 0.33280376e-1 -37.34424 27.63
6.98 0.62206453 0.21302651e-1 0.89133143e-1 0.1216218e-1 -0.28880233 0.33464831e-1 -37.3255 27.4
6.99 0.62368038 0.2488535e-1 0.88741291e-1 0.12171824e-1 -0.28757833 0.37057174e-1 -37.34799 27.23
7 0.62450167 0.21628792e-1 0.89554841e-1 0.11027685e-1 -0.28594349 0.32656477e-1 -37.36298 27.75
7.01 0.62302232 0.16842059e-1 0.89486918e-1 0.11257227e-1 -0.28749077 0.28099285e-1 -37.34424 27.83
7.02 0.62292961 0.20952792e-1 0.88916037e-1 0.11138121e-1 -0.28815436 0.32090914e-1 -37.35549 27.34
7.03 0.62312172 0.24889062e-1 0.88992322e-1 0.1204805e-1 -0.28788596 0.36937112e-1 -37.34799 26.64
7.04 0.62216904 0.23629748e-1 0.89021166e-1 0.1268544e-1 -0.28880979 0.36315189e-1 -37.35174 27.01
7.05 0.62369271 0.23712445e-1 0.89577211e-1 0.11777159e-1 -0.28673008 0.03548960 -37.35549 26.97
7.06 0.62305155 0.15873449e-1 0.88782092e-1 0.10963992e-1 -0.28816636 0.26837441e-1 -37.35549 27.73
7.07 0.62246234 0.25144211e-1 0.88557255e-1 0.12650875e-1 -0.2889804 0.37795086e-1 -37.34424 26.94
7.08 0.62281599 0.16701962e-1 0.89782351e-1 0.11405834e-1 -0.28740166 0.28107796e-1 -37.34799 27.43
7.09 0.62382946 0.20207913e-1 0.88669134e-1 0.11547585e-1 -0.2875014 0.31755497e-1 -37.35174 27.54
7.1 0.6236773 0.21431592e-1 0.89070649e-1 0.12613194e-1 -0.28725205 0.34044786e-1 -37.35923 27
7.11 0.62296821 0.18719812e-1 0.89355276e-1 0.11970162e-1 -0.28767651 0.30689974e-1 -37.35923 27.01
7.12 0.6237921 0.20055966e-1 0.89784444e-1 0.11390177e-1 -0.28642345 0.31446143e-1 -37.35549 27.26
7.13 0.62332713 0.24148998e-1 0.89506047e-1 0.1172013e-1 -0.28716683 0.35869128e-1 -37.35923 26.62
7.14 0.62302524 0.24655515e-1 0.89154763e-1 0.12291955e-1 -0.28782 0.3694747e-1 -37.36298 26.64
7.15 0.62204393 0.19812366e-1 0.89907632e-1 0.12251875e-1 -0.28804843 0.32064241e-1 -37.37048 27.1
7.16 0.62352098 0.24744865e-1 0.89148315e-1 0.12338635e-1 -0.28733071 0.0370835 -37.35549 26.44
7.17 0.62358455 0.17781846e-1 0.89264665e-1 0.11767766e-1 -0.28715079 0.29549612e-1 -37.36673 26.83
7.18 0.62354723 0.28003158e-1 0.88907319e-1 0.12384362e-1 -0.28754545 0.40387519e-1 -37.37423 25.98
7.19 0.62409527 0.20797436e-1 0.08853430 0.01168720 -0.28737042 0.32484639e-1 -37.37048 26.82
7.2 0.62301432 0.25349247e-1 0.08876040 0.12032429e-1 -0.28822528 0.37381676e-1 -37.36298 26.45
7.21 0.62474164 0.25272445e-1 0.89027377e-1 0.11183634e-1 -0.28623099 0.36456079e-1 -37.38547 26.44
7.22 0.62448 0.22131437e-1 0.8986233e-1 0.12581349e-1 -0.28565767 0.34712786e-1 -37.39297 26.42
7.23 0.62372749 0.23794291e-1 0.89257247e-1 0.12115646e-1 -0.28701527 0.35909937e-1 -37.36673 26.41
7.24 0.62401913 0.25658649e-1 0.8916391e-1 0.12785181e-1 -0.28681696 0.3844383e-1 -37.37048 26.25
7.25 0.62352174 0.24663467e-1 0.88737531e-1 0.12755657e-1 -0.28774073 0.37419123e-1 -37.36673 26.34
7.26 0.62369305 0.23679085e-1 0.89174064e-1 0.1215191e-1 -0.28713289 0.35830995e-1 -37.37048 26.37
7.27 0.62403006 0.21351555e-1 0.88389154e-1 0.11903559e-1 -0.28758078 0.33255114e-1 -37.38547 26.69
7.28 0.62521427 0.30352322e-1 0.89392849e-1 0.13104749e-1 -0.28539288 0.43457071e-1 -37.40046 25.7
7.29 0.62380166 0.26121361e-1 0.89046372e-1 0.12784189e-1 -0.28715197 0.3890555e-1 -37.37048 26.24
7.3 0.62414996 0.27294447e-1 0.08912350 0.13065264e-1 -0.28672653 0.40359711e-1 -37.39297 25.95
7.31 0.62366108 0.3050946e-1 0.89587261e-1 0.01338890 -0.28675166 0.43898366e-1 -37.38172 25.9
7.32 0.62488989 0.26722334e-1 0.88985542e-1 0.11809983e-1 -0.28612457 0.38532317e-1 -37.38922 26.02
7.33 0.6248009 0.24038482e-1 0.90698286e-1 0.11972866e-1 -0.28450082 0.36011348e-1 -37.38922 26
7.34 0.62438291 0.20920233e-1 0.88843577e-1 0.11996334e-1 -0.28677351 0.32916567e-1 -37.39297 26.54
7.35 0.62344021 0.28894232e-1 0.88626839e-1 0.1324537e-1 -0.28793295 0.04213960 -37.38922 25.36
7.36 0.6254151 0.02515560 0.8976713e-1 0.12695841e-1 -0.28481777 0.37851444e-1 -37.38922 26.11
7.37 0.62415157 0.26307912e-1 0.89157215e-1 0.12276437e-1 -0.28669122 0.38584349e-1 -37.39297 25.79
7.38 0.62440411 0.24982013e-1 0.8933231e-1 0.12427667e-1 -0.28626358 0.3740968e-1 -37.39297 25.77
